run,vfb_V
0,1.22846921
1,1.22590152
2,1.22696227
3,1.22713245
4,1.22693755
5,1.22660158
6,1.22380603
7,1.21996120
8,1.22681383
9,1.22710526
10,1.22090736
11,1.22380310
12,1.22443648
13,1.22417275
14,1.22582502
15,1.22741750
16,1.22512121
17,1.22833701
18,1.22964829
19,1.22844341
20,1.22604692
21,1.22733899
22,1.22407335
23,1.22335434
24,1.22778738
25,1.22827057
26,1.22443886
27,1.22132560
28,1.22389861
29,1.22593676
30,1.22584401
31,1.22862765
32,1.22924032
33,1.22510421
34,1.22277229
35,1.22540679
36,1.22487234
37,1.22604524
38,1.23052874
39,1.21986742
40,1.22274608
41,1.23002489
42,1.22896048
43,1.22611381
44,1.22479378
45,1.22630267
46,1.22445773
47,1.23286522
48,1.22609404
49,1.22627819
50,1.22425468
51,1.22521429
52,1.22358975
53,1.22632868
54,1.23161925
55,1.22456010
56,1.22683551
57,1.22421700
58,1.22615992
59,1.22432856
60,1.22791513
61,1.22267830
62,1.22993878
63,1.22573821
64,1.22878253
65,1.23057452
66,1.22714589
67,1.22847455
68,1.22568275
69,1.22636859
70,1.22661904
71,1.22521018
72,1.22689394
73,1.23155113
74,1.22565200
75,1.22325926
76,1.22577574
77,1.23260194
78,1.22494246
79,1.22473063
80,1.22618552
81,1.22657925
82,1.22463509
83,1.22813261
84,1.22252516
85,1.23111440
86,1.22843842
87,1.22845923
88,1.22728826
89,1.22320735
90,1.22768678
91,1.22275224
92,1.22509166
93,1.22486310
94,1.23115780
95,1.22417073
96,1.22461058
97,1.22384257
98,1.22494555
99,1.22556766
100,1.22470217
101,1.22403816
102,1.22815811
103,1.22424564
104,1.22796847
105,1.23577588
106,1.22810173
107,1.22991649
108,1.22519918
109,1.22479517
110,1.22034016
111,1.22809868
112,1.22472822
113,1.22230835
114,1.22231590
115,1.22586401
116,1.22642258
117,1.22845977
118,1.22520068
119,1.22472560
120,1.22659657
121,1.23044661
122,1.22813277
123,1.22901559
124,1.22561082
125,1.22654330
126,1.22699099
127,1.22760732
128,1.22876939
129,1.22655788
130,1.22366806
131,1.22604580
132,1.22108457
133,1.22584931
134,1.22348156
135,1.22314988
136,1.22583739
137,1.22616768
138,1.22561037
139,1.22369301
140,1.22425653
141,1.22831959
142,1.22395695
143,1.22264049
144,1.22050022
145,1.21973858
146,1.22643991
147,1.22780210
148,1.23031730
149,1.22349455
150,1.22697950
151,1.22424836
152,1.22814008
153,1.22658826
154,1.22342764
155,1.22531977
156,1.22416941
157,1.22821828
158,1.22885711
159,1.22634055
160,1.22794776
161,1.22464101
162,1.23089566
163,1.22833213
164,1.22469342
165,1.22372360
166,1.22804870
167,1.23089994
168,1.22587243
169,1.22813150
170,1.22879172
171,1.22725120
172,1.23023334
173,1.22834325
174,1.22916097
175,1.22907734
176,1.22685882
177,1.22356905
178,1.22452477
179,1.22571289
180,1.22654943
181,1.22411723
182,1.22315361
183,1.22850822
184,1.22361625
185,1.22744452
186,1.22424877
187,1.22729188
188,1.22616714
189,1.22555864
190,1.22639340
191,1.22345869
192,1.22772340
193,1.22782543
194,1.22831298
195,1.22850743
196,1.22692718
197,1.22559393
198,1.22899053
199,1.22459839
